Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-13;FV83;F26C007500;3000.0;;;;;;;;;;64.94;;
2025-02-13;FV84;F26C007600;150.0;;;;;;;;;;57.97;;
2025-02-13;FV87;F26C006200;1600.0;;;;;;;;;;313.03;;
2025-02-13;FV8N;F26C005100;500.0;;;;;;;;;;1003.5;;
2025-02-13;FV8S;F26C005300;1000.0;;;;;;;;;;845.55;;
2025-02-13;FV8X;F26C005500;110.0;;;;;;;;;;698.16;;
2025-02-13;FV8Z;F26C005600;200.0;;;;;;;;;;629.26;;
2025-02-13;FV91;F26C005700;1000.0;;;;;;;;;;563.95;;
2025-02-13;FV93;F26C005800;1500.0;;;;;;;;;;504.58;;
2025-02-13;FV94;F26C005850;2000.0;;;;;;;;;;476.87;;
2025-02-13;FV95;F26C005900;2145.0;;;;;;;;;;450.09;;
2025-02-13;FV96;F26C005950;2350.0;;;;;;;;;;424.4;;
2025-02-13;FV97;F26C006000;600.0;;;;;;;;;;400.01;;
2025-02-13;FV98;F26C007000;38150.0;;;;;;;;;;118.03;;
2025-02-13;FV99;F26C006500;3500.0;;;;;;;;;;215.7;;
2025-02-13;FV9G;F26C006300;900.0;;;;;;;;;;276.23;;
2025-02-13;FV9J;F26C006400;50.0;;;;;;;;;;244.1;;
2025-02-13;FV9N;F26C006800;20.0;;;;;;;;;;149.57;;
2025-02-13;FV9P;F26C006850;10.0;;;;;;;;;;140.9;;
2025-02-13;FW82;F27C007000;150.0;;;;;;;;;;375.04;;
2025-02-13;FW83;F27C006000;165.0;;;;;;;;;;760.31;;
2025-02-13;FW84;F27C006500;1550.0;;;;;;;;;;538.29;;
2025-02-13;FW89;F27C005800;100.0;;;;;;;;;;870.16;;
2025-02-13;FW8V;F27C007150;400.0;;;;;;;;;;337.44;;
2025-02-13;FW8W;F27C007200;35.0;;;;;;;;;;325.6;;
2025-02-13;FW9D;F27C008000;500.0;;;;;;;;;;193.95;;
2025-02-13;FWB1;F27C009000;200.0;;;;;;;;;;103.5;;
2025-02-13;FX85;F28C006000;60.0;;;;;;;;;;1053.03;;
2025-02-13;FX8D;F28C006700;25.0;;;;;;;;;;743.75;;
2025-02-13;FX8F;F28C011000;700.0;;;;;;;;;;108.13;;
2025-02-13;FX8G;F28C008500;700.0;;;;;;;;;;305.0;;
2025-02-13;FX8P;F28C007500;1150.0;;;;;;;;;;490.22;;
2025-02-13;FY88;F29C006300;100.0;;;;;;;;;;1142.95;;
2025-02-13;FY8F;F29C007500;645.0;;;;;;;;;;711.7;;
2025-02-13;FY8N;F29C008000;280.0;;;;;;;;;;581.59;;
2025-02-13;FY8P;F29C008500;500.0;;;;;;;;;;475.96;;
2025-02-13;GV8T;G26C006750;7.0;;;;;;;;;;183.02;;
2025-02-13;HT86;H25C005300;35.0;;;;;;;;;;494.0;;
2025-02-13;HT87;H25C005350;250.0;;;;;;;;;;444.32;;
2025-02-13;HT88;H25C005400;100.0;;;;;;;;;;394.71;;
2025-02-13;HT89;H25C005450;25.0;;;;;;;;;;345.28;;
2025-02-13;HT8B;H25C005500;60.0;;;;;;;;;;296.26;;
2025-02-13;HT8D;H25C005600;320.0;;;;;;;;;;201.56;;
2025-02-13;HT8F;H25C005650;20.0;;;;;;;;;;157.78;;
2025-02-13;HT8G;H25C005700;70.0;;;;;;;;;;118.14;;
2025-02-13;HT8H;H25C005800;600.0;4.0;2275.0;6326950.0;65.0;54.33;65.0;55.62;54.33;;58.79;;
2025-02-13;HT8J;H25C005750;370.0;;;;;;;;;;84.99;;
2025-02-13;HT8K;H25C006200;3150.0;;;;;;;;;;1.46;;
2025-02-13;HT8L;H25C006250;7840.0;;;;;;;;;;0.8;;
2025-02-13;HT8M;H25C006300;320.0;;;;;;;;;;0.4;;
2025-02-13;HT8N;H25C006350;340.0;;;;;;;;;;0.19;;
2025-02-13;HT8P;H25C006400;45.0;;;;;;;;;;0.09;;
2025-02-13;HT8R;H25C006500;750.0;;;;;;;;;;0.02;;
2025-02-13;HT93;H25C005850;4100.0;1.0;2000.0;4300000.0;43.0;43.0;43.0;43.0;43.0;;39.66;;
2025-02-13;HT94;H25C005900;10815.0;;;;;;;;;;26.49;;
2025-02-13;HT95;H25C005950;7630.0;1.0;3000.0;2850000.0;19.0;19.0;19.0;19.0;19.0;;17.42;;
2025-02-13;HT96;H25C006000;14095.0;1.0;6000.0;3240000.0;10.8;10.8;10.8;10.8;10.8;;11.4;;40.0
2025-02-13;HT97;H25C006050;3400.0;1.0;1000.0;359500.0;7.19;7.19;7.19;7.19;7.19;;7.34;;
2025-02-13;HT98;H25C006100;3319.0;1.0;4000.0;1200000.0;6.0;6.0;6.0;6.0;6.0;;4.51;;
2025-02-13;HT99;H25C006150;1150.0;;;;;;;;;;2.63;;
2025-02-13;HT9K;H25C005825;;1.0;40.0;106500.0;53.25;53.25;53.25;53.25;53.25;;48.45;;
2025-02-13;HT9M;H25C005925;30.0;1.0;1000.0;883000.0;17.66;17.66;17.66;17.66;17.66;;21.53;;
2025-02-13;HT9P;H25C006025;10.0;;;;;;;;;;9.2;;
2025-02-13;HT9R;H25C006125;105.0;;;;;;;;;;3.5;;
2025-02-13;HT9S;H25C006175;90.0;;;;;;;;;;1.97;;
2025-02-13;HTB3;H25C006600;1302.0;;;;;;;;;;0.0;;
2025-02-13;HTB4;H25C006625;15.0;;;;;;;;;;0.0;;
2025-02-13;JT82;J25C005500;200.0;;;;;;;;;;335.29;;
2025-02-13;JT83;J25C005750;1500.0;;;;;;;;;;147.51;;
2025-02-13;JT84;J25C006000;2200.0;1.0;35.0;105000.0;60.0;60.0;60.0;60.0;60.0;;52.24;;
2025-02-13;JT85;J25C006250;3500.0;;;;;;;;;;17.04;;
2025-02-13;JT86;J25C006500;985.0;;;;;;;;;;4.6;;
2025-02-13;JT8G;J25C005100;980.0;;;;;;;;;;717.82;;
2025-02-13;JT8J;J25C005200;425.0;;;;;;;;;;619.73;;
2025-02-13;JT8M;J25C005400;100.0;;;;;;;;;;426.96;;
2025-02-13;JT8N;J25C005450;10.0;;;;;;;;;;380.48;;
2025-02-13;JT8Q;J25C005600;325.0;;;;;;;;;;250.89;;
2025-02-13;JT8R;J25C005700;100.0;;;;;;;;;;178.09;;
2025-02-13;JT8S;J25C005800;200.0;1.0;50.0;280625.0;112.25;112.25;112.25;112.25;112.25;;120.81;;
2025-02-13;JT8V;J25C005900;800.0;1.0;25.0;106250.0;85.0;85.0;85.0;85.0;85.0;;79.26;;
2025-02-13;JT8W;J25C005950;500.0;;;;;;;;;;64.08;;
2025-02-13;JT8X;J25C006050;800.0;;;;;;;;;;42.62;;
2025-02-13;JT8Y;J25C006100;500.0;;;;;;;;;;33.96;;
2025-02-13;JT91;J25C006300;300.0;;;;;;;;;;13.4;;
2025-02-13;JT99;J25C006750;1000.0;;;;;;;;;;0.97;;
2025-02-13;JTBK;J25C006125;800.0;;;;;;;;;;30.26;;
2025-02-13;JTBL;J25C006175;20.0;;;;;;;;;;24.07;;
2025-02-13;JTBQ;J25C008000;35.0;;;;;;;;;;0.0;;
2025-02-13;JV83;J26C007500;1350.0;;;;;;;;;;108.85;;
2025-02-13;JV87;J26C006200;140.0;;;;;;;;;;403.88;;
2025-02-13;JV8X;J26C005500;110.0;;;;;;;;;;793.12;;
2025-02-13;JV8Z;J26C005600;260.0;;;;;;;;;;725.8;;
2025-02-13;JV91;J26C005700;40.0;;;;;;;;;;661.55;;
2025-02-13;JV93;J26C005800;10.0;;;;;;;;;;600.74;;
2025-02-13;JV94;J26C005850;3100.0;;;;;;;;;;572.95;;
2025-02-13;JV95;J26C005900;1100.0;;;;;;;;;;545.92;;
2025-02-13;JV96;J26C005950;1200.0;;;;;;;;;;520.06;;
2025-02-13;JV97;J26C006000;2005.0;;;;;;;;;;494.94;;
2025-02-13;JV99;J26C006300;320.0;;;;;;;;;;363.58;;
2025-02-13;JV9C;J26C006500;500.0;;;;;;;;;;294.09;;
2025-02-13;KT84;K25C005050;20.0;;;;;;;;;;790.55;;
2025-02-13;KT8D;K25C005500;100.0;;;;;;;;;;374.95;;
2025-02-13;KT8L;K25C005800;40.0;;;;;;;;;;169.9;;
2025-02-13;KT8N;K25C005900;300.0;;;;;;;;;;124.57;;
2025-02-13;KT8P;K25C005950;300.0;;;;;;;;;;106.28;;
2025-02-13;KT8Q;K25C006000;1165.0;;;;;;;;;;90.37;;
2025-02-13;KT8R;K25C006050;200.0;;;;;;;;;;77.71;;
2025-02-13;KT8S;K25C006100;720.0;;;;;;;;;;66.86;;
2025-02-13;KT8T;K25C006150;220.0;;;;;;;;;;57.67;;
2025-02-13;KT8V;K25C006200;155.0;;;;;;;;;;48.82;;
2025-02-13;KT8X;K25C006300;200.0;;;;;;;;;;34.89;;
2025-02-13;KT8Z;K25C006400;375.0;;;;;;;;;;24.88;;
2025-02-13;KT91;K25C006500;40.0;;;;;;;;;;17.67;;
2025-02-13;KT92;K25C006550;135.0;;;;;;;;;;14.67;;
2025-02-13;KT93;K25C006600;70.0;;;;;;;;;;12.2;;
2025-02-13;KT97;K25C006800;375.0;;;;;;;;;;5.46;;
2025-02-13;KT99;K25C006900;70.0;;;;;;;;;;3.53;;
2025-02-13;KT9F;K25C007100;1000.0;;;;;;;;;;1.44;;
2025-02-13;KTB0;K25C008000;15.0;;;;;;;;;;0.01;;
2025-02-13;MT88;M25C005000;20.0;;;;;;;;;;869.36;;
2025-02-13;MT8J;M25C005400;40.0;;;;;;;;;;502.56;;
2025-02-13;MT8M;M25C005550;365.0;;;;;;;;;;380.7;;
2025-02-13;MT8N;M25C005600;20.0;;;;;;;;;;343.24;;
2025-02-13;MT8P;M25C005650;100.0;;;;;;;;;;308.03;;
2025-02-13;MT8S;M25C005800;435.0;;;;;;;;;;218.2;;
2025-02-13;MT8T;M25C005850;100.0;;;;;;;;;;192.88;;
2025-02-13;MT8V;M25C005900;340.0;;;;;;;;;;169.95;;
2025-02-13;MT8X;M25C006000;45.0;;;;;;;;;;131.49;;
2025-02-13;MT8Y;M25C006050;5.0;;;;;;;;;;115.37;;
2025-02-13;MT91;M25C006200;10.0;;;;;;;;;;78.29;;
2025-02-13;MT92;M25C006250;5.0;;;;;;;;;;68.87;;
2025-02-13;MT93;M25C006300;1000.0;;;;;;;;;;60.42;;
2025-02-13;MT95;M25C006400;5.0;;;;;;;;;;46.38;;
2025-02-13;MT9F;M25C006800;500.0;;;;;;;;;;15.95;;
2025-02-13;NT8B;N25C005000;5020.0;;;;;;;;;;898.08;;
2025-02-13;NT8C;N25C007150;1000.0;;;;;;;;;;12.87;;
2025-02-13;NT8D;N25C006650;260.0;;;;;;;;;;40.66;;
2025-02-13;NT8F;N25C005100;5035.0;;;;;;;;;;805.39;;
2025-02-13;NT8H;N25C005200;225.0;;;;;;;;;;714.38;;
2025-02-13;NT8K;N25C005250;5000.0;;;;;;;;;;669.74;;
2025-02-13;NT8L;N25C005300;5020.0;;;;;;;;;;625.82;;
2025-02-13;NT8M;N25C005350;70.0;;;;;;;;;;582.73;;
2025-02-13;NT8N;N25C005400;1190.0;;;;;;;;;;540.74;;
2025-02-13;NT8P;N25C005450;5250.0;;;;;;;;;;499.95;;
2025-02-13;NT8Q;N25C005500;6300.0;;;;;;;;;;460.44;;
2025-02-13;NT8R;N25C006000;785.0;;;;;;;;;;169.68;;
2025-02-13;NT8T;N25C006100;1060.0;;;;;;;;;;135.99;;
2025-02-13;NT8V;N25C007200;360.0;;;;;;;;;;11.26;;
2025-02-13;NT93;N25C005700;2655.0;;;;;;;;;;319.21;;
2025-02-13;NT94;N25C005800;3580.0;;;;;;;;;;261.27;;
2025-02-13;NT95;N25C005900;600.0;;;;;;;;;;211.37;;
2025-02-13;NT97;N25C006500;2250.0;;;;;;;;;;56.27;;
2025-02-13;NT9C;N25C005850;500.0;;;;;;;;;;235.34;;
2025-02-13;NT9D;N25C005950;733.0;;;;;;;;;;189.33;;
2025-02-13;NT9F;N25C006150;300.0;;;;;;;;;;121.46;;
2025-02-13;NT9G;N25C006200;3755.0;;;;;;;;;;108.87;;
2025-02-13;NT9H;N25C006250;15.0;;;;;;;;;;97.58;;
2025-02-13;NT9J;N25C006300;340.0;1.0;400.0;1697000.0;84.85;84.85;84.85;84.85;84.85;;87.34;;
2025-02-13;NT9L;N25C006400;5000.0;;;;;;;;;;70.1;;
2025-02-13;NT9M;N25C006450;200.0;;;;;;;;;;62.79;;
2025-02-13;NT9P;N25C006600;1080.0;;;;;;;;;;45.27;;
2025-02-13;NT9Q;N25C006700;3750.0;;;;;;;;;;36.62;;
2025-02-13;NV82;N26C006000;5400.0;;;;;;;;;;585.53;;
2025-02-13;NV84;N26C007000;370.0;;;;;;;;;;238.61;;
2025-02-13;NV8J;N26C005500;90.0;;;;;;;;;;881.45;;
2025-02-13;NV8L;N26C005600;5000.0;;;;;;;;;;816.04;;
2025-02-13;NV8N;N26C005700;5000.0;;;;;;;;;;753.08;;
2025-02-13;NV8S;N26C005900;5000.0;;;;;;;;;;636.98;;
2025-02-13;NV8V;N26C006100;225.0;;;;;;;;;;537.38;;
2025-02-13;NV8W;N26C006200;5000.0;;;;;;;;;;492.49;;
2025-02-13;NV8X;N26C006300;5300.0;;;;;;;;;;450.31;;
2025-02-13;NV92;N26C006600;5960.0;;;;;;;;;;342.22;;
2025-02-13;NV96;N26C007500;3000.0;;;;;;;;;;159.15;;
2025-02-13;NW81;N27C007650;;1.0;35.0;610026.0;348.59;348.59;348.59;348.59;348.59;;345.16;;
