Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-14;FVD7;F26P006200;35.0;;;;;;;;;33143.0;;;
2025-02-14;FVDG;F26P004800;100.0;;;;;;;;;803.0;;;
2025-02-14;FVDJ;F26P004900;150.0;;;;;;;;;1191.0;;;
2025-02-14;FVDL;F26P005000;600.0;;;;;;;;;1722.0;;;
2025-02-14;FVDM;F26P005050;1.6;;;;;;;;;2049.0;;;
2025-02-14;FVDN;F26P005100;850.0;;;;;;;;;2423.0;;;
2025-02-14;FVDP;F26P005150;2.85;;;;;;;;;2842.0;;;
2025-02-14;FVDQ;F26P005200;200.0;;;;;;;;;3326.0;;;
2025-02-14;FVDV;F26P005400;1.05;;;;;;;;;5930.0;;;
2025-02-14;FVDX;F26P005500;1.25;;;;;;;;;7700.0;;;
2025-02-14;FVF2;F26P005750;220.0;;;;;;;;;13999.0;;;
2025-02-14;FVF3;F26P005800;1.26;;;;;;;;;15670.0;;;
2025-02-14;FVF4;F26P005850;250.0;;;;;;;;;17437.0;;;
2025-02-14;FVF5;F26P005900;210.0;;;;;;;;;19338.0;;;
2025-02-14;FVF6;F26P005950;10.0;;;;;;;;;21354.0;;;
2025-02-14;FVF7;F26P006000;305.0;;;;;;;;;23483.0;;;
2025-02-14;FVFB;F26P006050;10.0;;;;;;;;;25745.0;;;
2025-02-14;FVFF;F26P006250;360.0;;;;;;;;;35870.0;;;
2025-02-14;FVFH;F26P006350;350.0;;;;;;;;;41635.0;;;
2025-02-14;FVFJ;F26P006400;240.0;;;;;;;;;44644.0;;;
2025-02-14;FWD3;F27P006000;1.0;;;;;;;;;18761.0;;;
2025-02-14;FWD4;F27P006500;595.0;;;;;;;;;35961.0;;;
2025-02-14;FWD5;F27P005000;200.0;;;;;;;;;3208.0;;;
2025-02-14;FWD9;F27P005800;100.0;;;;;;;;;13970.0;;;
2025-02-14;FWDD;F27P005500;200.0;;;;;;;;;8610.0;;;
2025-02-14;FWGQ;F27P006450;100.0;;;;;;;;;33974.0;;;
2025-02-14;FXDB;F28P006500;400.0;;;;;;;;;26619.0;;;
2025-02-14;FXDG;F28P008500;200.0;;;;;;;;;1.13237;;;
2025-02-14;FXDP;F28P007500;650.0;;;;;;;;;63151.0;;;
2025-02-14;FYD8;F29P006300;100.0;;;;;;;;;17719.0;;;
2025-02-14;FYDN;F29P008000;200.0;;;;;;;;;64637.0;;;
2025-02-14;FYDP;F29P008500;200.0;;;;;;;;;84502.0;;;
2025-02-14;GVD6;G26P005800;7.0;;;;;;;;;15365.0;;;
2025-02-14;GVD7;G26P005850;100.0;;;;;;;;;17056.0;;;
2025-02-14;GVDB;G26P006000;45.0;;;;;;;;;22817.0;;;
2025-02-14;HTD0;H25P005000;10.0;;;;;;;;;0.0;;;
2025-02-14;HTD2;H25P005100;70.0;;;;;;;;;0.0;;;
2025-02-14;HTD8;H25P005400;10.0;;;;;;;;;29.0;;;
2025-02-14;HTD9;H25P005450;385.0;;;;;;;;;81.0;;;
2025-02-14;HTDB;H25P005500;10.0;;;;;;;;;195.0;;;
2025-02-14;HTDD;H25P005600;155.0;4.0;1.6;780.5;900.0;900.0;1200.0;976.0;940.0;953.0;;;1250.0
2025-02-14;HTDF;H25P005650;1.13;2.0;110.0;117.5;2150.0;2000.0;2150.0;2136.0;2000.0;1977.0;;;3275.0
2025-02-14;HTDG;H25P005700;250.0;7.0;1.115;;3008.0;3008.0;4557.0;3131.0;4557.0;3769.0;;;
2025-02-14;HTDH;H25P005800;2.4;;;;;;;;;9792.0;;;
2025-02-14;HTDJ;H25P005750;1.265;2.0;390.0;;6464.0;6464.0;7439.0;6564.0;7439.0;6393.0;;;
2025-02-14;HTF0;H25P004850;370.0;;;;;;;;;0.0;;;
2025-02-14;HTF3;H25P005850;1.61;2.0;1.47;;13498.0;13498.0;13675.0;13510.0;13675.0;13759.0;;;
2025-02-14;HTF4;H25P005900;1.705;1.0;550.0;;17458.0;17458.0;17458.0;17458.0;17458.0;18107.0;;;
2025-02-14;HTF5;H25P005950;60.0;;;;;;;;;22682.0;;;
2025-02-14;HTF6;H25P006000;1.015;;;;;;;;;27399.0;;;
2025-02-14;HTF8;H25P006100;820.0;;;;;;;;;37101.0;;;
2025-02-14;HTFF;H25P005625;;2.0;5.0;;1127.0;1127.0;1350.0;1305.0;1350.0;1390.0;;;
2025-02-14;HTFG;H25P005675;30.0;;;;;;;;;2773.0;;;3999.0
2025-02-14;HTFH;H25P005725;15.0;5.0;2.16;;5012.0;5012.0;6127.0;5083.0;6127.0;4971.0;;;
2025-02-14;HTFK;H25P005825;40.0;;;;;;;;;11719.0;;;
2025-02-14;HTFL;H25P005875;245.0;;;;;;;;;15895.0;;;
2025-02-14;HTFP;H25P006025;30.0;;;;;;;;;29794.0;;;
2025-02-14;HTG4;H25P006625;15.0;;;;;;;;;89239.0;;;
2025-02-14;JTD0;J25P005000;175.0;;;;;;;;;3.0;;;
2025-02-14;JTD1;J25P005250;100.0;;;;;;;;;117.0;;;
2025-02-14;JTD2;J25P005500;40.0;;;;;;;;;1592.0;;;
2025-02-14;JTD3;J25P005750;1.0;;;;;;;;;9435.0;;;
2025-02-14;JTD9;J25P004500;205.0;;;;;;;;;0.0;;;
2025-02-14;JTDC;J25P004900;100.0;;;;;;;;;0.0;;;
2025-02-14;JTDD;J25P004950;450.0;;;;;;;;;1.0;;;
2025-02-14;JTDF;J25P005050;500.0;;;;;;;;;6.0;;;
2025-02-14;JTDG;J25P005100;400.0;;;;;;;;;14.0;;;
2025-02-14;JTDH;J25P005150;135.0;;;;;;;;;30.0;;;
2025-02-14;JTDK;J25P005300;1.85;;;;;;;;;214.0;;;
2025-02-14;JTDM;J25P005400;100.0;;;;;;;;;627.0;;;
2025-02-14;JTDN;J25P005450;200.0;;;;;;;;;1015.0;;;
2025-02-14;JTDP;J25P005550;175.0;;;;;;;;;2410.0;;;
2025-02-14;JTDQ;J25P005600;1.03;;;;;;;;;3520.0;;;
2025-02-14;JTDR;J25P005700;110.0;2.0;1.92;;6700.0;6700.0;6900.0;6843.0;6900.0;7047.0;;;
2025-02-14;JTDS;J25P005800;10.0;;;;;;;;;12262.0;;;
2025-02-14;JTDT;J25P005850;400.0;;;;;;;;;15482.0;;;
2025-02-14;JTDV;J25P005900;95.0;;;;;;;;;19053.0;;;
2025-02-14;JTG9;J25P005725;200.0;1.0;100.0;398.75;7975.0;7975.0;7975.0;7975.0;7975.0;8191.0;;;
2025-02-14;JVDK;J26P004950;100.0;;;;;;;;;1677.0;;;
2025-02-14;JVDN;J26P005100;3.3;;;;;;;;;2642.0;;;
2025-02-14;JVDP;J26P005150;3.2;;;;;;;;;3048.0;;;
2025-02-14;JVDQ;J26P005200;1.4;;;;;;;;;3511.0;;;
2025-02-14;JVDS;J26P005300;3.6;;;;;;;;;4611.0;;;
2025-02-14;JVDV;J26P005400;1.085;;;;;;;;;5980.0;;;
