Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-21;FV83;F26C007500;3000.0;;;;;;;;;;49.9;;
2025-02-21;FV84;F26C007600;150.0;;;;;;;;;;44.39;;
2025-02-21;FV87;F26C006200;1600.0;1.0;30.0;384750.0;256.5;256.5;256.5;256.5;256.5;;265.2;;
2025-02-21;FV8N;F26C005100;500.0;;;;;;;;;;944.93;;
2025-02-21;FV8S;F26C005300;1000.0;;;;;;;;;;785.53;;
2025-02-21;FV8X;F26C005500;110.0;;;;;;;;;;637.8;;
2025-02-21;FV8Z;F26C005600;200.0;;;;;;;;;;569.18;;
2025-02-21;FV91;F26C005700;1000.0;;;;;;;;;;505.0;;
2025-02-21;FV93;F26C005800;1500.0;;;;;;;;;;447.45;;
2025-02-21;FV94;F26C005850;2000.0;;;;;;;;;;420.48;;
2025-02-21;FV95;F26C005900;2145.0;;;;;;;;;;394.7;;
2025-02-21;FV96;F26C005950;2350.0;;;;;;;;;;370.12;;
2025-02-21;FV97;F26C006000;600.0;;;;;;;;;;346.72;;
2025-02-21;FV98;F26C007000;38150.0;;;;;;;;;;93.06;;
2025-02-21;FV99;F26C006500;3500.0;;;;;;;;;;177.61;;
2025-02-21;FV9G;F26C006300;900.0;;;;;;;;;;232.02;;
2025-02-21;FV9J;F26C006400;50.0;;;;;;;;;;203.15;;
2025-02-21;FV9N;F26C006800;20.0;;;;;;;;;;120.75;;
2025-02-21;FV9P;F26C006850;10.0;;;;;;;;;;113.37;;
2025-02-21;FV9S;F26C006700;150.0;;;;;;;;;;136.98;;
2025-02-21;FW82;F27C007000;150.0;;;;;;;;;;321.68;;
2025-02-21;FW83;F27C006000;165.0;;;;;;;;;;689.68;;
2025-02-21;FW84;F27C006500;1550.0;;;;;;;;;;473.6;;
2025-02-21;FW89;F27C005800;100.0;;;;;;;;;;797.71;;
2025-02-21;FW8V;F27C007150;400.0;;;;;;;;;;287.14;;
2025-02-21;FW8W;F27C007200;35.0;;;;;;;;;;276.78;;
2025-02-21;FW9D;F27C008000;500.0;;;;;;;;;;158.12;;
2025-02-21;FWB1;F27C009000;200.0;;;;;;;;;;81.32;;
2025-02-21;FX85;F28C006000;60.0;;;;;;;;;;977.29;;
2025-02-21;FX8D;F28C006700;25.0;;;;;;;;;;675.19;;
2025-02-21;FX8F;F28C011000;700.0;;;;;;;;;;89.65;;
2025-02-21;FX8G;F28C008500;700.0;;;;;;;;;;261.3;;
2025-02-21;FX8P;F28C007500;1150.0;;;;;;;;;;435.56;;
2025-02-21;FY88;F29C006300;100.0;;;;;;;;;;1089.05;;
2025-02-21;FY8F;F29C007500;645.0;;;;;;;;;;665.28;;
2025-02-21;FY8N;F29C008000;280.0;;;;;;;;;;539.38;;
2025-02-21;FY8P;F29C008500;500.0;;;;;;;;;;440.45;;
2025-02-21;GV8T;G26C006750;7.0;;;;;;;;;;149.37;;
2025-02-21;HT86;H25C005300;35.0;;;;;;;;;;435.8;;
2025-02-21;HT87;H25C005350;250.0;;;;;;;;;;385.94;;
2025-02-21;HT88;H25C005400;100.0;;;;;;;;;;336.1;;
2025-02-21;HT89;H25C005450;25.0;;;;;;;;;;286.3;;
2025-02-21;HT8B;H25C005500;60.0;;;;;;;;;;236.69;;
2025-02-21;HT8D;H25C005600;320.0;;;;;;;;;;139.34;;
2025-02-21;HT8F;H25C005650;20.0;;;;;;;;;;94.31;;
2025-02-21;HT8G;H25C005700;70.0;;;;;;;;;;56.83;;
2025-02-21;HT8H;H25C005800;3975.0;1.0;125.0;79250.0;12.68;12.68;12.68;12.68;12.68;;15.64;;60.0
2025-02-21;HT8J;H25C005750;570.0;2.0;1060.0;1455500.0;27.25;27.25;31.0;27.46;31.0;;30.72;;
2025-02-21;HT8K;H25C006200;3150.0;;;;;;;;;;0.01;;
2025-02-21;HT8L;H25C006250;7840.0;;;;;;;;;;0.0;;
2025-02-21;HT8M;H25C006300;320.0;;;;;;;;;;0.0;;
2025-02-21;HT8N;H25C006350;340.0;;;;;;;;;;0.0;;
2025-02-21;HT8P;H25C006400;40.0;;;;;;;;;;0.0;;
2025-02-21;HT8R;H25C006500;750.0;;;;;;;;;;0.0;;
2025-02-21;HT93;H25C005850;4100.0;;;;;;;;;;7.73;;
2025-02-21;HT94;H25C005900;7445.0;3.0;355.0;75875.0;3.5;2.5;4.5;4.27;4.5;;3.82;;
2025-02-21;HT95;H25C005950;7630.0;1.0;25.0;1250.0;1.0;1.0;1.0;1.0;1.0;;1.85;;
2025-02-21;HT96;H25C006000;16270.0;;;;;;;;;;0.81;;
2025-02-21;HT97;H25C006050;4500.0;;;;;;;;;;0.33;;
2025-02-21;HT98;H25C006100;6815.0;;;;;;;;;;0.1;;
2025-02-21;HT99;H25C006150;1090.0;;;;;;;;;;0.03;;
2025-02-21;HT9H;H25C005725;120.0;;;;;;;;;;42.29;;
2025-02-21;HT9K;H25C005825;40.0;1.0;40.0;12000.0;6.0;6.0;6.0;6.0;6.0;;11.03;;
2025-02-21;HT9M;H25C005925;1000.0;1.0;25.0;2500.0;2.0;2.0;2.0;2.0;2.0;;2.71;;
2025-02-21;HT9P;H25C006025;10.0;;;;;;;;;;0.53;;
2025-02-21;HT9R;H25C006125;105.0;;;;;;;;;;0.05;;
2025-02-21;HT9S;H25C006175;90.0;;;;;;;;;;0.01;;
2025-02-21;HTB3;H25C006600;1302.0;;;;;;;;;;0.0;;
2025-02-21;HTB4;H25C006625;15.0;;;;;;;;;;0.0;;
2025-02-21;JT82;J25C005500;200.0;;;;;;;;;;274.53;;
2025-02-21;JT83;J25C005750;1500.0;;;;;;;;;;95.91;;
2025-02-21;JT84;J25C006000;2400.0;2.0;50.0;66375.0;23.25;23.25;28.75;26.55;28.75;;26.29;;
2025-02-21;JT85;J25C006250;3500.0;;;;;;;;;;6.06;;
2025-02-21;JT86;J25C006500;985.0;;;;;;;;;;0.96;;
2025-02-21;JT8G;J25C005100;980.0;;;;;;;;;;660.47;;
2025-02-21;JT8J;J25C005200;425.0;;;;;;;;;;561.85;;
2025-02-21;JT8M;J25C005400;100.0;;;;;;;;;;367.15;;
2025-02-21;JT8N;J25C005450;10.0;;;;;;;;;;320.12;;
2025-02-21;JT8Q;J25C005600;325.0;;;;;;;;;;190.67;;
2025-02-21;JT8R;J25C005700;130.0;;;;;;;;;;122.59;;
2025-02-21;JT8S;J25C005800;270.0;;;;;;;;;;74.14;;
2025-02-21;JT8T;J25C005850;;1.0;10.0;27625.0;55.25;55.25;55.25;55.25;55.25;;56.91;;
2025-02-21;JT8V;J25C005900;3100.0;2.0;3900.0;8363040.0;42.89;42.75;42.89;42.89;42.75;;44.41;;
2025-02-21;JT8W;J25C005950;500.0;;;;;;;;;;34.72;;
2025-02-21;JT8X;J25C006050;800.0;;;;;;;;;;19.83;;
2025-02-21;JT8Y;J25C006100;500.0;2.0;7800.0;5850000.0;15.0;15.0;15.0;15.0;15.0;;15.0;;
2025-02-21;JT91;J25C006300;300.0;;;;;;;;;;4.28;;
2025-02-21;JT99;J25C006750;1000.0;;;;;;;;;;0.08;;
2025-02-21;JTBK;J25C006125;800.0;;;;;;;;;;13.04;;
2025-02-21;JTBL;J25C006175;20.0;;;;;;;;;;9.65;;
2025-02-21;JTBQ;J25C008000;35.0;;;;;;;;;;0.0;;
2025-02-21;JTC9;J25C005650;50.0;;;;;;;;;;154.1;;
2025-02-21;JV83;J26C007500;1350.0;;;;;;;;;;86.76;;
2025-02-21;JV87;J26C006200;140.0;;;;;;;;;;355.79;;
2025-02-21;JV8X;J26C005500;110.0;;;;;;;;;;734.25;;
2025-02-21;JV8Z;J26C005600;260.0;;;;;;;;;;667.49;;
2025-02-21;JV91;J26C005700;40.0;;;;;;;;;;603.92;;
2025-02-21;JV93;J26C005800;10.0;;;;;;;;;;545.39;;
2025-02-21;JV94;J26C005850;3100.0;;;;;;;;;;518.27;;
2025-02-21;JV95;J26C005900;1100.0;;;;;;;;;;492.17;;
2025-02-21;JV96;J26C005950;1200.0;;;;;;;;;;467.09;;
2025-02-21;JV97;J26C006000;2005.0;;;;;;;;;;443.02;;
2025-02-21;JV99;J26C006300;320.0;;;;;;;;;;317.86;;
2025-02-21;JV9C;J26C006500;500.0;;;;;;;;;;254.22;;
2025-02-21;KT84;K25C005050;20.0;;;;;;;;;;733.74;;
2025-02-21;KT8D;K25C005500;100.0;;;;;;;;;;316.33;;
2025-02-21;KT8L;K25C005800;40.0;;;;;;;;;;123.55;;
2025-02-21;KT8N;K25C005900;300.0;;;;;;;;;;86.08;;
2025-02-21;KT8P;K25C005950;300.0;;;;;;;;;;72.11;;
2025-02-21;KT8Q;K25C006000;1165.0;;;;;;;;;;60.86;;
2025-02-21;KT8R;K25C006050;200.0;;;;;;;;;;51.51;;
2025-02-21;KT8S;K25C006100;720.0;;;;;;;;;;42.72;;
2025-02-21;KT8T;K25C006150;220.0;;;;;;;;;;35.27;;
2025-02-21;KT8V;K25C006200;155.0;;;;;;;;;;29.14;;
2025-02-21;KT8X;K25C006300;200.0;;;;;;;;;;19.88;;
2025-02-21;KT8Z;K25C006400;375.0;;;;;;;;;;13.31;;
2025-02-21;KT91;K25C006500;40.0;;;;;;;;;;8.77;;
2025-02-21;KT92;K25C006550;135.0;;;;;;;;;;7.02;;
2025-02-21;KT93;K25C006600;70.0;;;;;;;;;;5.51;;
2025-02-21;KT97;K25C006800;375.0;;;;;;;;;;2.06;;
2025-02-21;KT99;K25C006900;70.0;;;;;;;;;;1.22;;
2025-02-21;KT9F;K25C007100;1000.0;;;;;;;;;;0.35;;
2025-02-21;KTB0;K25C008000;15.0;;;;;;;;;;0.0;;
2025-02-21;MT88;M25C005000;20.0;;;;;;;;;;813.34;;
2025-02-21;MT8J;M25C005400;40.0;;;;;;;;;;444.59;;
2025-02-21;MT8M;M25C005550;365.0;;;;;;;;;;323.8;;
2025-02-21;MT8N;M25C005600;20.0;;;;;;;;;;287.23;;
2025-02-21;MT8P;M25C005650;100.0;;;;;;;;;;254.13;;
2025-02-21;MT8S;M25C005800;435.0;;;;;;;;;;170.45;;
2025-02-21;MT8T;M25C005850;100.0;;;;;;;;;;147.79;;
2025-02-21;MT8V;M25C005900;340.0;;;;;;;;;;128.24;;
2025-02-21;MT8X;M25C006000;45.0;1.0;35.0;148524.0;84.87;84.87;84.87;84.87;84.87;;95.9;;
2025-02-21;MT8Y;M25C006050;605.0;;;;;;;;;;83.15;;
2025-02-21;MT91;M25C006200;10.0;;;;;;;;;;54.0;;
2025-02-21;MT92;M25C006250;5.0;;;;;;;;;;46.68;;
2025-02-21;MT93;M25C006300;1000.0;;;;;;;;;;40.3;;
2025-02-21;MT95;M25C006400;5.0;;;;;;;;;;30.28;;
2025-02-21;MT9F;M25C006800;500.0;;;;;;;;;;8.79;;
2025-02-21;NT8B;N25C005000;5020.0;;;;;;;;;;841.44;;
2025-02-21;NT8C;N25C007150;1000.0;;;;;;;;;;7.0;;
2025-02-21;NT8D;N25C006650;260.0;;;;;;;;;;27.91;;
2025-02-21;NT8F;N25C005100;5035.0;;;;;;;;;;748.13;;
2025-02-21;NT8H;N25C005200;225.0;;;;;;;;;;656.54;;
2025-02-21;NT8K;N25C005250;5000.0;;;;;;;;;;611.59;;
2025-02-21;NT8L;N25C005300;5020.0;;;;;;;;;;567.44;;
2025-02-21;NT8M;N25C005350;70.0;;;;;;;;;;524.2;;
2025-02-21;NT8N;N25C005400;1190.0;;;;;;;;;;482.21;;
2025-02-21;NT8P;N25C005450;5250.0;;;;;;;;;;441.57;;
2025-02-21;NT8Q;N25C005500;6300.0;;;;;;;;;;402.47;;
2025-02-21;NT8R;N25C006000;785.0;;;;;;;;;;130.5;;
2025-02-21;NT8T;N25C006100;1060.0;;;;;;;;;;102.15;;
2025-02-21;NT8V;N25C007200;360.0;;;;;;;;;;5.96;;
2025-02-21;NT93;N25C005700;2655.0;;;;;;;;;;265.92;;
2025-02-21;NT94;N25C005800;3580.0;;;;;;;;;;211.72;;
2025-02-21;NT95;N25C005900;2100.0;;;;;;;;;;166.34;;
2025-02-21;NT97;N25C006500;2250.0;;;;;;;;;;39.18;;
2025-02-21;NT9C;N25C005850;500.0;;;;;;;;;;187.9;;
2025-02-21;NT9D;N25C005950;733.0;;;;;;;;;;147.46;;
2025-02-21;NT9F;N25C006150;300.0;;;;;;;;;;90.45;;
2025-02-21;NT9G;N25C006200;5565.0;;;;;;;;;;80.19;;
2025-02-21;NT9H;N25C006250;15.0;;;;;;;;;;71.23;;
2025-02-21;NT9J;N25C006300;1140.0;;;;;;;;;;63.01;;
2025-02-21;NT9L;N25C006400;6500.0;;;;;;;;;;49.55;;
2025-02-21;NT9M;N25C006450;200.0;;;;;;;;;;44.0;;
2025-02-21;NT9P;N25C006600;1080.0;;;;;;;;;;31.2;;
2025-02-21;NT9Q;N25C006700;3750.0;;;;;;;;;;25.0;;
2025-02-21;NV82;N26C006000;5400.0;;;;;;;;;;524.5;;
2025-02-21;NV84;N26C007000;370.0;;;;;;;;;;200.26;;
2025-02-21;NV8J;N26C005500;90.0;;;;;;;;;;816.44;;
2025-02-21;NV8L;N26C005600;5000.0;;;;;;;;;;750.78;;
2025-02-21;NV8N;N26C005700;5000.0;;;;;;;;;;688.15;;
2025-02-21;NV8S;N26C005900;5000.0;;;;;;;;;;574.43;;
2025-02-21;NV8V;N26C006100;225.0;;;;;;;;;;477.91;;
2025-02-21;NV8W;N26C006200;5000.0;;;;;;;;;;434.57;;
2025-02-21;NV8X;N26C006300;5300.0;;;;;;;;;;394.35;;
2025-02-21;NV92;N26C006600;5960.0;;;;;;;;;;293.74;;
2025-02-21;NV96;N26C007500;3000.0;;;;;;;;;;127.37;;
2025-02-21;NW81;N27C007650;35.0;;;;;;;;;;295.56;;
2025-02-21;NX8X;N28C006400;540.0;;;;;;;;;;925.71;;
2025-02-21;NX99;N28C007000;75.0;;;;;;;;;;694.59;;
