Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-13;FVD7;F26P006200;35.0;;;;;;;;;306.32;;;
2025-02-13;FVDG;F26P004800;100.0;;;;;;;;;7.89;;;
2025-02-13;FVDJ;F26P004900;150.0;;;;;;;;;11.54;;;
2025-02-13;FVDL;F26P005000;600.0;;;;;;;;;16.49;;;
2025-02-13;FVDM;F26P005050;1600.0;;;;;;;;;19.54;;;
2025-02-13;FVDN;F26P005100;850.0;;;;;;;;;22.97;;;
2025-02-13;FVDP;F26P005150;2850.0;;;;;;;;;26.94;;;
2025-02-13;FVDQ;F26P005200;200.0;;;;;;;;;31.43;;;
2025-02-13;FVDV;F26P005400;1050.0;;;;;;;;;55.42;;;
2025-02-13;FVDX;F26P005500;1250.0;;;;;;;;;71.75;;;
2025-02-13;FVF2;F26P005750;220.0;;;;;;;;;128.47;;;
2025-02-13;FVF3;F26P005800;1260.0;;;;;;;;;143.75;;;
2025-02-13;FVF4;F26P005850;250.0;;;;;;;;;160.31;;;
2025-02-13;FVF5;F26P005900;210.0;;;;;;;;;177.79;;;
2025-02-13;FVF6;F26P005950;10.0;;;;;;;;;196.37;;;
2025-02-13;FVF7;F26P006000;305.0;;;;;;;;;216.24;;;
2025-02-13;FVFB;F26P006050;10.0;;;;;;;;;237.21;;;
2025-02-13;FVFF;F26P006250;360.0;;;;;;;;;331.48;;;
2025-02-13;FVFH;F26P006350;350.0;;;;;;;;;385.79;;;
2025-02-13;FVFJ;F26P006400;240.0;;;;;;;;;414.44;;;
2025-02-13;FWD3;F27P006000;1000.0;;;;;;;;;180.14;;;
2025-02-13;FWD4;F27P006500;595.0;;;;;;;;;343.52;;;
2025-02-13;FWD5;F27P005000;200.0;;;;;;;;;32.25;;;
2025-02-13;FWD9;F27P005800;100.0;;;;;;;;;135.83;;;
2025-02-13;FWDD;F27P005500;200.0;;;;;;;;;84.58;;;
2025-02-13;FWGQ;F27P006450;100.0;;;;;;;;;324.28;;;
2025-02-13;FXDB;F28P006500;400.0;;;;;;;;;249.1;;;
2025-02-13;FXDG;F28P008500;200.0;;;;;;;;;1078.12;;;
2025-02-13;FXDP;F28P007500;650.0;;;;;;;;;590.7;;;
2025-02-13;FYD8;F29P006300;100.0;;;;;;;;;158.87;;;
2025-02-13;FYDN;F29P008000;200.0;;;;;;;;;596.3;;;
2025-02-13;FYDP;F29P008500;200.0;;;;;;;;;784.43;;;
2025-02-13;GVD6;G26P005800;7.0;;;;;;;;;142.13;;;
2025-02-13;GVD7;G26P005850;100.0;;;;;;;;;157.88;;;
2025-02-13;GVDB;G26P006000;45.0;;;;;;;;;211.52;;;
2025-02-13;HTD0;H25P005000;10.0;;;;;;;;;0.0;;;
2025-02-13;HTD2;H25P005100;70.0;;;;;;;;;0.0;;;
2025-02-13;HTD8;H25P005400;10.0;;;;;;;;;0.13;;;
2025-02-13;HTD9;H25P005450;385.0;;;;;;;;;0.41;;;
2025-02-13;HTDB;H25P005500;10.0;;;;;;;;;1.1;;;
2025-02-13;HTDD;H25P005600;155.0;;;;;;;;;5.81;;;
2025-02-13;HTDF;H25P005650;130.0;1.0;1000.0;758750.0;15.18;15.18;15.18;15.18;15.18;11.74;;;
2025-02-13;HTDG;H25P005700;250.0;;;;;;;;;21.81;;;39.88
2025-02-13;HTDH;H25P005800;2275.0;4.0;325.0;876250.0;54.0;53.5;54.0;53.92;53.5;61.87;;;
2025-02-13;HTDJ;H25P005750;1265.0;;;;;;;;;38.36;;;
2025-02-13;HTF0;H25P004850;370.0;;;;;;;;;0.0;;;
2025-02-13;HTF3;H25P005850;1610.0;;;;;;;;;92.45;;;
2025-02-13;HTF4;H25P005900;1705.0;;;;;;;;;128.98;;;
2025-02-13;HTF5;H25P005950;60.0;;;;;;;;;169.61;;;
2025-02-13;HTF6;H25P006000;1015.0;;;;;;;;;213.31;;;
2025-02-13;HTF8;H25P006100;820.0;;;;;;;;;305.83;;;
2025-02-13;HTFG;H25P005675;30.0;;;;;;;;;16.17;;;
2025-02-13;HTFH;H25P005725;;3.0;15.0;27635.0;36.85;36.85;36.85;36.85;36.85;29.29;;;
2025-02-13;HTFK;H25P005825;40.0;;;;;;;;;76.38;;;
2025-02-13;HTFL;H25P005875;245.0;;;;;;;;;110.12;;;
2025-02-13;HTFP;H25P006025;30.0;;;;;;;;;235.96;;;
2025-02-13;HTG4;H25P006625;15.0;;;;;;;;;823.24;;;
2025-02-13;JTD0;J25P005000;175.0;;;;;;;;;0.03;;;
2025-02-13;JTD1;J25P005250;100.0;;;;;;;;;0.94;;;
2025-02-13;JTD2;J25P005500;40.0;;;;;;;;;11.45;;;
2025-02-13;JTD3;J25P005750;1000.0;;;;;;;;;69.82;;;
2025-02-13;JTD9;J25P004500;205.0;;;;;;;;;0.0;;;
2025-02-13;JTDC;J25P004900;100.0;;;;;;;;;0.0;;;
2025-02-13;JTDD;J25P004950;450.0;;;;;;;;;0.01;;;
2025-02-13;JTDF;J25P005050;500.0;;;;;;;;;0.06;;;
2025-02-13;JTDG;J25P005100;400.0;;;;;;;;;0.12;;;
2025-02-13;JTDH;J25P005150;135.0;;;;;;;;;0.25;;;
2025-02-13;JTDK;J25P005300;1850.0;;;;;;;;;1.65;;;
2025-02-13;JTDM;J25P005400;100.0;;;;;;;;;4.65;;;
2025-02-13;JTDN;J25P005450;200.0;;;;;;;;;7.4;;;
2025-02-13;JTDP;J25P005550;175.0;;;;;;;;;17.35;;;
2025-02-13;JTDQ;J25P005600;1030.0;;;;;;;;;25.51;;;
2025-02-13;JTDR;J25P005700;110.0;;;;;;;;;51.17;;;
2025-02-13;JTDS;J25P005800;10.0;;;;;;;;;92.35;;;
2025-02-13;JTDT;J25P005850;400.0;;;;;;;;;118.82;;;
2025-02-13;JTDV;J25P005900;95.0;;;;;;;;;149.26;;;
2025-02-13;JTG9;J25P005725;200.0;;;;;;;;;60.03;;;
2025-02-13;JVDK;J26P004950;100.0;;;;;;;;;16.06;;;
2025-02-13;JVDN;J26P005100;3300.0;;;;;;;;;25.25;;;
2025-02-13;JVDP;J26P005150;3200.0;;;;;;;;;29.06;;;
2025-02-13;JVDQ;J26P005200;1400.0;;;;;;;;;33.39;;;
2025-02-13;JVDS;J26P005300;3600.0;;;;;;;;;43.47;;;
2025-02-13;JVDV;J26P005400;1085.0;;;;;;;;;56.21;;;
2025-02-13;JVDW;J26P005450;120.0;;;;;;;;;63.61;;;
2025-02-13;JVDX;J26P005500;120.0;;;;;;;;;71.55;;;
2025-02-13;JVF3;J26P005800;200.0;;;;;;;;;135.68;;;
2025-02-13;JVFB;J26P006400;500.0;;;;;;;;;374.7;;;
2025-02-13;JWDL;J27P006150;10.0;;;;;;;;;183.31;;;
2025-02-13;KTD1;K25P004900;300.0;;;;;;;;;0.13;;;
2025-02-13;KTD4;K25P005050;160.0;;;;;;;;;0.68;;;
2025-02-13;KTD6;K25P005200;100.0;;;;;;;;;2.73;;;
2025-02-13;KTD7;K25P005250;100.0;;;;;;;;;4.11;;;
2025-02-13;KTDC;K25P005450;300.0;;;;;;;;;17.15;;;
2025-02-13;KTDD;K25P005500;120.0;;;;;;;;;23.53;;;
2025-02-13;KTDG;K25P005600;135.0;;;;;;;;;41.81;;;
2025-02-13;KTDH;K25P005650;110.0;;;;;;;;;54.32;;;
2025-02-13;KTDJ;K25P005700;20.0;;;;;;;;;70.29;;;
2025-02-13;KTDK;K25P005750;55.0;;;;;;;;;89.12;;;
2025-02-13;KTDP;K25P005950;70.0;;;;;;;;;193.3;;;
2025-02-13;KTDR;K25P006050;50.0;;;;;;;;;262.15;;;
2025-02-13;KTDS;K25P006100;65.0;;;;;;;;;300.02;;;
2025-02-13;KTG9;K25P004400;205.0;;;;;;;;;0.0;;;
2025-02-13;MTD1;M25P004650;435.0;;;;;;;;;0.06;;;
2025-02-13;MTD8;M25P005000;20.0;;;;;;;;;1.54;;;
2025-02-13;MTDB;M25P005100;435.0;;;;;;;;;3.2;;;
2025-02-13;MTDC;M25P005150;410.0;;;;;;;;;4.52;;;
2025-02-13;MTDD;M25P005200;200.0;;;;;;;;;6.27;;;
2025-02-13;MTDJ;M25P005400;330.0;;;;;;;;;20.07;;;
2025-02-13;MTDK;M25P005450;140.0;;;;;;;;;26.2;;;
2025-02-13;MTDN;M25P005600;20.0;;;;;;;;;53.41;;;
2025-02-13;MTDP;M25P005650;120.0;;;;;;;;;66.37;;;
2025-02-13;MTDQ;M25P005700;255.0;;;;;;;;;82.24;;;
2025-02-13;MTDR;M25P005750;5.0;;;;;;;;;100.48;;;
2025-02-13;MTDY;M25P006050;40.0;;;;;;;;;259.03;;;
2025-02-13;NTD6;N25P004800;8000.0;;;;;;;;;0.74;;;
2025-02-13;NTD8;N25P004900;5380.0;;;;;;;;;1.57;;;
2025-02-13;NTDB;N25P005000;7450.0;;;;;;;;;3.07;;;
2025-02-13;NTDF;N25P005100;21150.0;;;;;;;;;5.66;;;
2025-02-13;NTDG;N25P005150;110.0;;;;;;;;;7.54;;;
2025-02-13;NTDH;N25P005200;315.0;;;;;;;;;9.93;;;
2025-02-13;NTDK;N25P005250;5665.0;;;;;;;;;12.93;;;
2025-02-13;NTDL;N25P005300;5020.0;;;;;;;;;16.65;;;
2025-02-13;NTDM;N25P005350;65.0;;;;;;;;;21.21;;;
2025-02-13;NTDN;N25P005400;13100.0;1.0;400.0;550000.0;27.5;27.5;27.5;27.5;27.5;26.86;;;
2025-02-13;NTDP;N25P005450;5255.0;;;;;;;;;33.71;;;
2025-02-13;NTDQ;N25P005500;6800.0;;;;;;;;;41.84;;;
2025-02-13;NTDR;N25P006000;50.0;;;;;;;;;227.48;;;
2025-02-13;NTDT;N25P006100;105.0;;;;;;;;;289.07;;;
2025-02-13;NTF2;N25P005600;473.0;;;;;;;;;62.46;;;
2025-02-13;NTF3;N25P005700;6425.0;;;;;;;;;91.17;;;
2025-02-13;NTF4;N25P005800;2600.0;;;;;;;;;128.51;;;
2025-02-13;NTF5;N25P005900;105.0;;;;;;;;;173.89;;;
2025-02-13;NTF8;N25P005550;40.0;;;;;;;;;51.38;;;
2025-02-13;NTF9;N25P005650;1250.0;;;;;;;;;75.4;;;
2025-02-13;NTFB;N25P005750;70.0;;;;;;;;;108.79;;;
2025-02-13;NTFF;N25P006150;175.0;;;;;;;;;322.19;;;
2025-02-13;NTFG;N25P006200;660.0;;;;;;;;;357.24;;;
2025-02-13;NTFH;N25P006250;10.0;;;;;;;;;393.58;;;
2025-02-13;NVD2;N26P006000;5485.0;;;;;;;;;191.6;;;
2025-02-13;NVD5;N26P004900;200.0;;;;;;;;;16.86;;;
2025-02-13;NVDD;N26P005300;70.0;;;;;;;;;47.25;;;
2025-02-13;NVDH;N26P005450;155.0;;;;;;;;;66.83;;;
2025-02-13;NVDJ;N26P005500;400.0;;;;;;;;;74.36;;;
2025-02-13;NVDL;N26P005600;5000.0;;;;;;;;;91.58;;;
2025-02-13;NVDM;N26P005650;80.0;;;;;;;;;101.17;;;
2025-02-13;NVDN;N26P005700;5000.0;;;;;;;;;111.25;;;
2025-02-13;NVDP;N26P005750;960.0;;;;;;;;;122.21;;;
2025-02-13;NVDQ;N26P005800;70.0;;;;;;;;;133.87;;;
2025-02-13;NVDS;N26P005900;5000.0;;;;;;;;;160.42;;;
