Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-03;FV83;F26C007500;3;;;;;;;;;;7510;;
2025-02-03;FV84;F26C007600;150;;;;;;;;;;6712;;
2025-02-03;FV87;F26C006200;1,6;;;;;;;;;;34782;;
2025-02-03;FV8N;F26C005100;500;;;;;;;;;;1,05646;;
2025-02-03;FV8S;F26C005300;1;;;;;;;;;;89737;;
2025-02-03;FV8X;F26C005500;110;;;;;;;;;;74817;;
2025-02-03;FV8Z;F26C005600;200;;;;;;;;;;67799;;
2025-02-03;FV91;F26C005700;1;;;;;;;;;;61115;;
2025-02-03;FV93;F26C005800;1,5;;;;;;;;;;54861;;
2025-02-03;FV94;F26C005850;2;;;;;;;;;;51969;;
2025-02-03;FV95;F26C005900;2,145;;;;;;;;;;49202;;
2025-02-03;FV96;F26C005950;2,35;;;;;;;;;;46524;;
2025-02-03;FV97;F26C006000;600;;;;;;;;;;43952;;
2025-02-03;FV98;F26C007000;38,15;;;;;;;;;;13420;;
2025-02-03;FV99;F26C006500;3,5;;;;;;;;;;24211;;
2025-02-03;FV9G;F26C006300;900;;;;;;;;;;30803;;
2025-02-03;FV9J;F26C006400;50;;;;;;;;;;27294;;
2025-02-03;FV9N;F26C006800;20;;;;;;;;;;16911;;
2025-02-03;FV9P;F26C006850;10;;;;;;;;;;15959;;
2025-02-03;FW82;F27C007000;150;;;;;;;;;;39447;;
2025-02-03;FW83;F27C006000;165;;;;;;;;;;79654;;
2025-02-03;FW84;F27C006500;1,55;;;;;;;;;;56539;;
2025-02-03;FW89;F27C005800;100;;;;;;;;;;90905;;
2025-02-03;FW8V;F27C007150;400;;;;;;;;;;35624;;
2025-02-03;FW8W;F27C007200;35;;;;;;;;;;34441;;
2025-02-03;FW9D;F27C008000;500;;;;;;;;;;20180;;
2025-02-03;FWB1;F27C009000;200;;;;;;;;;;10686;;
2025-02-03;FX85;F28C006000;60;;;;;;;;;;1,06945;;
2025-02-03;FX8D;F28C006700;25;;;;;;;;;;75167;;
2025-02-03;FX8F;F28C011000;700;;;;;;;;;;10587;;
2025-02-03;FX8G;F28C008500;700;;;;;;;;;;29936;;
2025-02-03;FX8P;F28C007500;1,15;;;;;;;;;;49222;;
2025-02-03;FY88;F29C006300;100;;;;;;;;;;1,15963;;
2025-02-03;FY8F;F29C007500;645;;;;;;;;;;71126;;
2025-02-03;FY8N;F29C008000;280;;;;;;;;;;58020;;
2025-02-03;FY8P;F29C008500;500;;;;;;;;;;47601;;
2025-02-03;GT80;G25C004400;20;;;;;;;;;;1,4301;;
2025-02-03;GT8G;G25C005100;540;;;;;;;;;;73010;;
2025-02-03;GT8H;G25C005150;5;;;;;;;;;;68010;;
2025-02-03;GT8M;G25C005350;100;;;;;;;;;;48010;;
2025-02-03;GT8Q;G25C005500;20;;;;;;;;;;33010;;
2025-02-03;GT8S;G25C005600;140;;;;;;;;;;23010;;
2025-02-03;GT8W;G25C005750;5;;;;;;;;;;8010;;
2025-02-03;GT8X;G25C005800;335;;;;;;;;;;3010;;
2025-02-03;GT8Z;G25C005900;1,5;;;;;;;;;;0;;
2025-02-03;GT90;G25C005950;150;;;;;;;;;;0;;
2025-02-03;GT91;G25C006000;2;;;;;;;;;;0;;
2025-02-03;GT92;G25C006050;140;;;;;;;;;;0;;
2025-02-03;GT93;G25C006100;1,96;;;;;;;;;;0;;
2025-02-03;GT94;G25C006150;895;;;;;;;;;;0;;
2025-02-03;GT95;G25C006200;5,252;;;;;;;;;;0;;
2025-02-03;GT96;G25C006250;2,895;;;;;;;;;;0;;
2025-02-03;GT97;G25C006300;1,82;;;;;;;;;;0;;
2025-02-03;GT98;G25C006350;25;;;;;;;;;;0;;
2025-02-03;GT99;G25C006400;1,16;;;;;;;;;;0;;
2025-02-03;GT9B;G25C006450;5;;;;;;;;;;0;;
2025-02-03;GT9C;G25C006500;755;;;;;;;;;;0;;
2025-02-03;GT9D;G25C005375;15;;;;;;;;;;45510;;
2025-02-03;GTB5;G25C006550;15;;;;;;;;;;0;;
2025-02-03;GTB7;G25C006600;15;;;;;;;;;;0;;
2025-02-03;GTBC;G25C006700;325;;;;;;;;;;0;;
2025-02-03;GTBF;G25C006750;350;;;;;;;;;;0;;
2025-02-03;HT86;H25C005300;35;;;;;;;;;;54232;;
2025-02-03;HT87;H25C005350;250;;;;;;;;;;49313;;
2025-02-03;HT88;H25C005400;100;;;;;;;;;;44425;;
2025-02-03;HT89;H25C005450;10;;;;;;;;;;39588;;
2025-02-03;HT8B;H25C005500;60;;;;;;;;;;34834;;
2025-02-03;HT8D;H25C005600;320;;;;;;;;;;25754;;
2025-02-03;HT8F;H25C005650;20;;;;;;;;;;21548;;
2025-02-03;HT8G;H25C005700;20;;;;;;;;;;17656;;
2025-02-03;HT8J;H25C005750;370;;;;;;;;;;14223;;
2025-02-03;HT8K;H25C006200;3,25;;;;;;;;;;1237;;
2025-02-03;HT8L;H25C006250;7,84;;;;;;;;;;888;;
2025-02-03;HT8M;H25C006300;570;;;;;;;;;;632;;
2025-02-03;HT8P;H25C006400;45;;;;;;;;;;295;;
2025-02-03;HT8R;H25C006500;750;;;;;;;;;;129;;
2025-02-03;HT94;H25C005900;1,525;;;;;;;;;;6705;;
2025-02-03;HT95;H25C005950;25;;;;;;;;;;5108;;
2025-02-03;HT96;H25C006000;13,575;;;;;;;;;;3881;;
2025-02-03;HT97;H25C006050;275;;;;;;;;;;2926;;
2025-02-03;HT98;H25C006100;1,855;;;;;;;;;;2196;;
2025-02-03;HT99;H25C006150;1,09;;;;;;;;;;1647;;
2025-02-03;HT9P;H25C006025;10;;;;;;;;;;3377;;
2025-02-03;HT9R;H25C006125;105;;;;;;;;;;1905;;
2025-02-03;HT9S;H25C006175;90;;;;;;;;;;1428;;
2025-02-03;HTB3;H25C006600;1,302;;;;;;;;;;51;;
2025-02-03;JT82;J25C005500;200;;;;;;;;;;38670;;
2025-02-03;JT83;J25C005750;1,5;;;;;;;;;;19489;;
2025-02-03;JT84;J25C006000;750;;;;;;;;;;8092;;
2025-02-03;JT85;J25C006250;3,5;;;;;;;;;;3216;;
2025-02-03;JT86;J25C006500;985;;;;;;;;;;1157;;
2025-02-03;JT8G;J25C005100;980;;;;;;;;;;76535;;
2025-02-03;JT8J;J25C005200;425;;;;;;;;;;66797;;
2025-02-03;JT8M;J25C005400;100;;;;;;;;;;47729;;
2025-02-03;JT8N;J25C005450;10;;;;;;;;;;43140;;
2025-02-03;JT8Q;J25C005600;325;;;;;;;;;;30248;;
2025-02-03;JT8R;J25C005700;100;;;;;;;;;;22735;;
2025-02-03;JT8S;J25C005800;200;;;;;;;;;;16547;;
2025-02-03;JT8Y;J25C006100;500;;;;;;;;;;5688;;
2025-02-03;JT91;J25C006300;300;;;;;;;;;;2644;;
2025-02-03;JT99;J25C006750;1;;;;;;;;;;344;;
2025-02-03;JTBK;J25C006125;800;;;;;;;;;;5221;;
2025-02-03;JTBL;J25C006175;20;;;;;;;;;;4317;;
2025-02-03;JTBQ;J25C008000;35;;;;;;;;;;0;;
2025-02-03;JV83;J26C007500;1,35;;;;;;;;;;12553;;
2025-02-03;JV87;J26C006200;140;;;;;;;;;;44464;;
2025-02-03;JV8X;J26C005500;110;;;;;;;;;;84657;;
2025-02-03;JV8Z;J26C005600;260;;;;;;;;;;77800;;
2025-02-03;JV91;J26C005700;40;;;;;;;;;;71239;;
2025-02-03;JV93;J26C005800;10;;;;;;;;;;64963;;
2025-02-03;JV94;J26C005850;3,1;;;;;;;;;;61952;;
2025-02-03;JV95;J26C005900;1,1;;;;;;;;;;59178;;
2025-02-03;JV96;J26C005950;1,2;;;;;;;;;;56497;;
2025-02-03;JV97;J26C006000;2,005;;;;;;;;;;53910;;
2025-02-03;JV99;J26C006300;320;;;;;;;;;;40156;;
2025-02-03;JV9C;J26C006500;500;;;;;;;;;;32574;;
2025-02-03;KT84;K25C005050;20;;;;;;;;;;83789;;
2025-02-03;KT8D;K25C005500;100;;;;;;;;;;42419;;
2025-02-03;KT8L;K25C005800;40;;;;;;;;;;21156;;
2025-02-03;KT8N;K25C005900;100;;;;;;;;;;16105;;
2025-02-03;KT8P;K25C005950;300;;;;;;;;;;13982;;
2025-02-03;KT8Q;K25C006000;365;;;;;;;;;;12125;;
2025-02-03;KT8S;K25C006100;700;;;;;;;;;;9113;;
2025-02-03;KT8V;K25C006200;105;;;;;;;;;;6942;;
2025-02-03;KT8Z;K25C006400;375;;;;;;;;;;3843;;
2025-02-03;KT91;K25C006500;40;;;;;;;;;;2836;;
2025-02-03;KT92;K25C006550;135;;;;;;;;;;2436;;
